TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT,,,,,,,,,,,,,
Washington Wizards,82,43,39,20,31.7,9.9,73.2,3.5,1.3,7,5.4,4.5,18.9,,,,,,,,,,,,,
Utah Jazz,82,48,34,20.7,38,12,75.4,4.1,0.8,7.1,4.8,4.2,18.2,,,,,,,,,,,,,
Toronto Raptors,82,59,23,26,36.5,14.5,72,4.7,1.6,7.9,7.2,6,24.2,,,,,,,,,,,,,
San Antonio Spurs,82,47,35,25.2,37.7,13.2,73.6,4.2,1.8,7.9,6.4,6.5,23.2,,,,,,,,,,,,,
Sacramento Kings,82,27,55,27.6,37.7,13.4,72.7,5,1.6,8.9,6.7,7,24,,,,,,,,,,,,,
Portland Trail Blazers,82,49,33,26.2,30.3,12.5,74.4,3.7,1.6,8,6.3,6.2,23.1,,,,,,,,,,,,,
Phoenix Suns,82,21,61,24.3,35,12.9,72.3,4.2,1.2,9.4,6.7,7.4,23.8,,,,,,,,,,,,,
Philadelphia 76ers,82,52,30,24.4,33.2,14,72.8,4.3,1.5,9.6,6.5,5.3,21.4,,,,,,,,,,,,,
Orlando Magic,82,25,57,23.8,28.3,12,71,4.1,1.2,8.4,6.4,6.3,23.9,,,,,,,,,,,,,
Oklahoma City Thunder,82,48,34,21.3,40.8,14.3,72.3,4.4,1.7,6.3,5.6,4.8,19.1,,,,,,,,,,,,,
New York Knicks,82,29,53,23.8,36.5,11.2,72.4,4,0.8,8.3,6.6,5.6,21.4,,,,,,,,,,,,,
New Orleans Pelicans,82,48,34,24.9,31.9,11.8,72.5,4.3,1.3,8.8,7.1,7.2,24.4,,,,,,,,,,,,,
Minnesota Timberwolves,82,47,35,20.6,43.5,8.1,71.6,4.6,0.8,6.6,5.6,5.4,19.6,,,,,,,,,,,,,
Milwaukee Bucks,82,44,38,22.8,50,10.3,70.7,4.5,1.5,7.4,6.1,4.8,22.5,,,,,,,,,,,,,
Miami Heat,82,44,38,24.9,35.1,14,74.1,3.5,1.5,8,6,5.6,22.3,,,,,,,,,,,,,
Memphis Grizzlies,82,22,60,24.4,26.1,11.3,71.9,4.4,1.3,8.8,6,7.4,21.3,,,,,,,,,,,,,
Los Angeles Lakers,82,35,47,26.5,39,16.9,73,4.8,1.8,9.9,7.3,6.8,26.7,,,,,,,,,,,,,
LA Clippers,82,42,40,27.5,41.3,11.4,71.5,5.2,2,10.1,7.7,8.9,25.9,,,,,,,,,,,,,
Indiana Pacers,82,48,34,29.6,37.5,17.1,72.1,5.8,1.4,9.1,7.8,7.6,27.6,,,,,,,,,,,,,
Houston Rockets,82,65,17,26,30.6,15.3,74.8,5.1,1.5,8.4,6.5,6.4,26.2,,,,,,,,,,,,,
Golden State Warriors,82,58,24,24.3,30.8,12.3,71.1,3.9,1.5,9.3,6.9,7,24,,,,,,,,,,,,,
Detroit Pistons,82,39,43,22.3,33.9,9.4,74,3.5,0.8,6.9,5.2,4.5,20.1,,,,,,,,,,,,,
Denver Nuggets,82,46,36,24.6,30.5,11.7,73.4,4.2,1.5,9.5,5.8,6.4,24.2,,,,,,,,,,,,,
Dallas Mavericks,82,24,58,23.8,34.7,11.9,74.5,3.8,0.8,6.9,5.6,7,20.6,,,,,,,,,,,,,
Cleveland Cavaliers,82,50,32,30.6,29.1,18.5,72.8,4.8,2.2,10.4,8.2,7.2,29.9,,,,,,,,,,,,,
Chicago Bulls,82,27,55,19.2,28,10.2,77.3,4.1,1,6.4,4.3,4.5,17.5,,,,,,,,,,,,,
Charlotte Hornets,82,36,46,23.5,31.1,12.3,76.3,3.9,1.4,7.2,5.2,5.2,21.9,,,,,,,,,,,,,
Brooklyn Nets,82,28,54,25.8,25.4,14.9,73.1,3.5,1.5,9.2,7.2,6.2,25.7,,,,,,,,,,,,,
Boston Celtics,82,55,27,21.5,29.8,12.6,73.5,3.9,1.1,6.8,5,4.4,19.4,,,,,,,,,,,,,
Atlanta Hawks,82,24,58,23,36.9,11.1,71.6,4.3,1.1,8.5,6.2,6.2,21.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
